Site,Map_Icon,Type,Latitude,Longitude,Branch_Art,Provincial,CityBody
South Pars Gas Refineries,Gas Refinery,Energy,27.49924502,52.60354219,,Bushehr,
Jam Gas Refinery,Gas Refinery,Energy,27.93255476,52.20093594,,Bushehr,
Sarkhoun and Gheshm Gas Refinery,Gas Refinery,Energy,27.33998794,56.42835253,,Hormozgan,
Hengam Gas Refinery,Gas Refinery,Energy,26.84715128,55.84606954,,Hormozgan,
Masjed Soleiman Gas Refinery,Gas Refinery,Energy,31.90580114,49.26666559,,Khuzestan,
Bid Boland Gas Refinery,Gas Refinery,Energy,30.76161124,49.97824052,,Khuzestan,
Khangiran Gas Refinery,Gas Refinery,Energy,36.47040922,60.84663011,,Khorasan Razavi,
Esfahan Oil Refinery,Oil Refinery,Energy,32.77769482,51.50939095,,Esfahan,Esfahan City
Tehran Oil Refinery,Oil Refinery,Energy,35.53741321,51.42578915,,Tehran,Tehran City
Takran Pars Oil Refinery,Oil Refinery,Energy,35.31702345,51.33967498,,Tehran,
Kharg Island Oil Refinery,Oil Refinery,Energy,29.23574552,50.30867296,,Bushehr,
Lavan Oil Refinery,Oil Refinery,Energy,26.799749,53.34874745,,Hormozgan,
Pasargad Gheshm Heavy Oil Refinery,Oil Refinery,Energy,26.9099454,55.93673203,,Hormozgan,
Persian Gulf Star Oil Refinery,Oil Refinery,Energy,27.16189788,56.05213804,,Hormozgan,
Aftab Oil Refinery,Oil Refinery,Energy,27.0524989,55.93798736,,Hormozgan,
Siri Island Oil Refinery,Oil Refinery,Energy,25.905133,54.5374336,,Hormozgan,
Tabriz Oil Refinery,Oil Refinery,Energy,38.05598791,46.16025814,,East Azerbaijan,
Abadan Oil Refinery,Oil Refinery,Energy,30.3525421,48.27861568,,Khuzestan,
Aran Exir Oil Refinery,Oil Refinery,Energy,30.50486981,49.09238163,,Khuzestan,
Andimeshk Oil Refinery,Oil Refinery,Energy,32.46933638,48.34883993,,Khuzestan,
Shahed Aviation Industries Production Facility,Drone Facility,Military,32.62341073,51.69468632,,Esfahan,Esfahan City
IRGC ASF Shahid Karimi Drone Base,Drone Facility,Military,33.89126874,51.57690231,,Esfahan,
Iran Aircraft Manufacturing Industrial Company,Drone Facility,Military,32.90812139,51.55629563,,Esfahan,
Kimia Part Sivan Company,Drone Facility,Military,32.66681577,51.84164172,,Esfahan,Esfahan City
Iran Aviation Industries Organization,Drone Facility,Military,35.70164306,51.28270529,,Tehran,Tehran City
Qods Aviation Industries,Drone Facility,Military,35.70201526,51.28199247,,Tehran,Tehran City
Mado Company,Drone Facility,Military,34.79752525,50.80401292,,Qom,
IRGC Mahidasht Drone Base,Drone Facility,Military,34.32550488,46.77117421,,Kermanshah,
Bandar-e Abbas Airport IRGC Drone base,Drone Facility,Military,27.20535479,56.36573099,,Hormozgan,
IRGC Drone Base,Drone Facility,Military,26.70077546,55.94830168,,Hormozgan,
IRGC ASF Ali Akbar Drone Base,Drone Facility,Military,31.57134619,48.673914,,Khuzestan,Ahvaz
Semnan Drone Base,Drone Facility,Military,35.39526059,53.68206677,,Semnan,
Konarak Drone Base,Drone Facility,Military,25.3326506,60.35630534,,Sistan and Baluchistan,Chabahar
IRGC GF Seyyed ol Shohada Operational Base,Military Base,Military,32.64527138,51.67055768,IRGC,Esfahan,Esfahan City
IRGC GF 8th Najaf-e Ashraf Armored Division,Military Base,Military,32.66172509,51.34371893,IRGC,Esfahan,Esfahan City
IRGC GF 14th Imam Hossein Division,Military Base,Military,32.50464311,51.6911424,IRGC,Esfahan,Esfahan City
IRGC GF Sarallah Operational Base,Military Base,Military,35.77917002,51.40177806,IRGC,Tehran,
IRGC GF 27th Mohammad Rasoul Ollah Operational Division,Military Base,Military,35.66046826,51.55416259,IRGC,Tehran,Tehran City
IRGC GF 23rd Khatam ol Anbia Operational Division,Military Base,Military,35.53818686,51.4856439,IRGC,Tehran,Tehran City
